Policyid,policyeffyr,month,underwriter,premium,coverage,irpm,loss ratio,sales manager,state,reason1,reason2,action selected
3285,2011,Jul,Priscilla,32097,building,1.09,55%,Ayikple,SC,loss ratio>40%,has irpm,no action
3286,2015,Feb,Franca,21646,auto,1.16,79%,Dedu,VA,loss ratio>40%,has irpm,add debit
3287,2012,Nov,Alex,32315,home,0.89,50%,Odeneho,NY,loss ratio>40%,has irpm,no action
3288,2014,Nov,Ama,25836,home,1.02,73%,Odeneho,WI,loss ratio>40%,has irpm,add debit
3289,2012,Nov,Adjoa,44419,auto,1.53,45%,Ayikple,GA,loss ratio>40%,has irpm,no action
3290,2010,Jul,Ben,37719,auto,0.71,61%,Odeneho,NY,loss ratio>40%,has irpm,no action
3291,2011,Jul,Dan,3321,building,1.34,34%,Odeneho,IL,,has irpm,add credit
3292,2010,May,Mina,44786,building,1.75,83%,Odeneho,WI,loss ratio>40%,has irpm,add debit
3293,2010,Feb,Abena,45521,contents,1.97,7%,Ayikple,VA,,has irpm,add credit
3294,2014,Sep,David,5925,auto,1.93,76%,Odeneho,TX,loss ratio>40%,has irpm,add debit
3295,2012,Apr,Ekow,33117,home,1.93,20%,Odeneho,IL,,has irpm,add credit
3296,2010,Jun,Kwasi,45955,auto,1.29,36%,Odeneho,NC,,has irpm,add credit
3297,2014,Sep,Kwabena,9202,contents,1.7,76%,Ayikple,MD,loss ratio>40%,has irpm,add debit
3298,2010,Apr,Emefa,32505,building,1.67,14%,Odeneho,MN,,has irpm,add credit
3299,2014,May,Abbie,2715,products,0.95,42%,Ayikple,WI,loss ratio>40%,has irpm,no action
3300,2011,Mar,Aseda,31978,contents,1.39,12%,Odeneho,FL,,has irpm,add credit
3301,2010,Mar,Bella,3998,products,0.53,54%,Ayikple,GA,loss ratio>40%,has irpm,no action
3302,2010,Jan,Janice,5633,building,1.2,57%,Dedu,VA,loss ratio>40%,has irpm,no action
3303,2013,Dec,Francis,5044,contents,1.89,2%,Dedu,NY,,has irpm,add credit
3304,2014,Feb,Priscilla,21768,auto,1.91,100%,Odeneho,PA,loss ratio>40%,has irpm,add debit
3305,2011,Aug,Franca,49284,auto,1.35,96%,Dedu,IL,loss ratio>40%,has irpm,add debit
3306,2015,Dec,Alex,38319,contents,0.88,92%,Ayikple,GA,loss ratio>40%,has irpm,no action
3307,2011,Aug,Ama,38118,products,1,78%,Dedu,NJ,loss ratio>40%,,no action
3308,2013,Mar,Adjoa,24615,building,0.9,86%,Ayikple,TX,loss ratio>40%,has irpm,no action
3309,2015,Jan,Ben,16807,building,1.95,12%,Dedu,KY,,has irpm,add credit
3310,2013,May,Dan,8359,home,1.08,68%,Dedu,TX,loss ratio>40%,has irpm,no action
3311,2010,Apr,Mina,18113,contents,1.06,98%,Dedu,NJ,loss ratio>40%,has irpm,add debit
3312,2010,Mar,Abena,17200,home,1.91,10%,Ayikple,NY,,has irpm,add credit
3313,2010,Sep,David,6534,building,1.71,71%,Dedu,KY,loss ratio>40%,has irpm,add debit
3314,2015,Sep,Ekow,10367,building,1.47,29%,Dedu,PA,,has irpm,add credit
3315,2012,Jun,Kwasi,41001,contents,0.85,48%,Odeneho,TN,loss ratio>40%,has irpm,no action
3316,2010,Jul,Kwabena,10176,home,1.16,8%,Odeneho,VA,,has irpm,add credit
3317,2014,Jun,Emefa,18871,contents,1.19,64%,Dedu,NY,loss ratio>40%,has irpm,no action
3318,2011,May,Abbie,42970,contents,1.07,45%,Dedu,GA,loss ratio>40%,has irpm,no action
3319,2011,Aug,Aseda,9465,contents,1.69,60%,Odeneho,FL,loss ratio>40%,has irpm,no action
3320,2015,Jan,Bella,2993,auto,1.97,85%,Odeneho,IL,loss ratio>40%,has irpm,add debit
3321,2013,Jun,Janice,49190,auto,0.96,41%,Ayikple,TX,loss ratio>40%,has irpm,no action
3322,2014,Apr,Francis,41698,building,0.97,4%,Odeneho,TX,,has irpm,add credit
3323,2014,Aug,Priscilla,29880,contents,1.78,28%,Ayikple,WI,,has irpm,add credit
3324,2014,Sep,Franca,34436,home,1.94,5%,Ayikple,VA,,has irpm,add credit
3325,2010,Nov,Alex,26231,products,0.57,96%,Dedu,PA,loss ratio>40%,has irpm,no action
3326,2012,Jun,Ama,5245,products,1.26,14%,Dedu,NJ,,has irpm,add credit
3327,2010,Apr,Adjoa,35039,contents,1.44,31%,Odeneho,MD,,has irpm,add credit
3328,2011,Nov,Ben,11555,building,1.64,55%,Odeneho,MN,loss ratio>40%,has irpm,no action
3329,2015,Jul,Dan,16784,contents,1.71,86%,Odeneho,VA,loss ratio>40%,has irpm,add debit
3330,2014,May,Mina,27968,products,0.66,27%,Odeneho,SC,,has irpm,add credit
3331,2013,May,Abena,31344,building,0.51,3%,Ayikple,FL,,has irpm,add credit
3332,2010,Nov,David,34672,building,0.6,71%,Dedu,KY,loss ratio>40%,has irpm,no action
3333,2013,Jun,Ekow,33168,building,1.82,3%,Odeneho,GA,,has irpm,add credit
3334,2012,Oct,Kwasi,36452,contents,0.67,12%,Dedu,KY,,has irpm,add credit
3335,2012,Dec,Kwabena,18162,home,1.31,20%,Ayikple,TX,,has irpm,add credit
3336,2014,Dec,Emefa,31366,auto,0.5,8%,Ayikple,SC,,has irpm,add credit
3337,2012,Mar,Abbie,36559,auto,1.12,12%,Odeneho,SC,,has irpm,add credit
3338,2012,May,Aseda,26704,building,1.28,16%,Dedu,GA,,has irpm,add credit
3339,2014,Jul,Bella,8030,products,1.44,0%,Odeneho,NC,,has irpm,add credit
3340,2010,Aug,Janice,25641,building,0.52,16%,Dedu,TX,,has irpm,add credit
3341,2015,May,Francis,27888,contents,1.81,10%,Ayikple,NY,,has irpm,add credit
3342,2010,Mar,Priscilla,43063,products,1.76,5%,Odeneho,PA,,has irpm,add credit
3343,2011,Dec,Franca,48954,products,1.02,64%,Ayikple,NC,loss ratio>40%,has irpm,no action
3344,2014,Jan,Alex,42369,contents,1.48,75%,Odeneho,TN,loss ratio>40%,has irpm,add debit
3345,2010,Nov,Ama,14840,auto,1.91,29%,Odeneho,MD,,has irpm,add credit
3346,2014,Dec,Adjoa,21558,contents,1.75,13%,Dedu,TX,,has irpm,add credit
3347,2013,Oct,Ben,39471,products,1.38,36%,Odeneho,NJ,,has irpm,add credit
3348,2015,Jun,Dan,36593,auto,1.65,60%,Dedu,WI,loss ratio>40%,has irpm,no action
3349,2014,Jun,Mina,10279,products,1.79,97%,Odeneho,IL,loss ratio>40%,has irpm,add debit
3350,2011,Sep,Abena,15395,contents,1.27,77%,Dedu,KY,loss ratio>40%,has irpm,add debit
3351,2011,Feb,David,7129,products,1.79,13%,Ayikple,KY,,has irpm,add credit
3352,2015,Mar,Ekow,35342,auto,1.08,81%,Ayikple,NC,loss ratio>40%,has irpm,add debit
3353,2011,May,Kwasi,1983,home,0.55,51%,Odeneho,TX,loss ratio>40%,has irpm,no action
3354,2014,May,Kwabena,36453,contents,1.58,9%,Ayikple,NC,,has irpm,add credit
3355,2011,Nov,Emefa,10845,building,1.06,76%,Odeneho,GA,loss ratio>40%,has irpm,add debit
3356,2011,Oct,Abbie,9273,products,0.7,34%,Odeneho,FL,,has irpm,add credit
3357,2013,Feb,Aseda,39835,building,1.27,31%,Odeneho,MN,,has irpm,add credit
3358,2010,Jul,Bella,20237,products,0.98,100%,Odeneho,KY,loss ratio>40%,has irpm,no action
3359,2010,Mar,Janice,15324,home,1.97,92%,Ayikple,GA,loss ratio>40%,has irpm,add debit
3360,2015,Feb,Francis,18895,building,1.92,16%,Ayikple,FL,,has irpm,add credit
3361,2013,Jun,Priscilla,31877,contents,0.68,5%,Ayikple,IL,,has irpm,add credit
3362,2014,May,Franca,21613,home,0.96,18%,Odeneho,WI,,has irpm,add credit
3363,2013,Feb,Alex,27919,contents,1.32,51%,Dedu,SC,loss ratio>40%,has irpm,no action
3364,2013,Nov,Ama,34964,products,1.53,78%,Odeneho,NY,loss ratio>40%,has irpm,add debit
3365,2010,Sep,Adjoa,49394,building,1.45,49%,Ayikple,FL,loss ratio>40%,has irpm,no action
3366,2012,Aug,Ben,22414,products,0.91,32%,Odeneho,VA,,has irpm,add credit
3367,2011,Apr,Dan,42477,home,1.53,27%,Dedu,SC,,has irpm,add credit
3368,2015,Apr,Mina,16262,building,1.01,79%,Odeneho,NY,loss ratio>40%,has irpm,add debit
3369,2011,May,Abena,5732,building,1.22,90%,Ayikple,IL,loss ratio>40%,has irpm,add debit
3370,2013,Nov,David,18405,auto,1.67,46%,Odeneho,WI,loss ratio>40%,has irpm,no action
3371,2010,Jan,Ekow,24530,home,1.05,42%,Ayikple,TX,loss ratio>40%,has irpm,no action
3372,2014,Feb,Kwasi,3772,contents,1.54,67%,Ayikple,NY,loss ratio>40%,has irpm,no action
3373,2015,Dec,Kwabena,20860,products,1.14,23%,Dedu,PA,,has irpm,add credit
3374,2010,Feb,Emefa,9277,contents,1.01,30%,Ayikple,NC,,has irpm,add credit
3375,2013,Sep,Abbie,27287,building,1.45,10%,Ayikple,NY,,has irpm,add credit
3376,2012,Aug,Aseda,25108,contents,1.83,46%,Dedu,TX,loss ratio>40%,has irpm,no action
3377,2012,Jan,Bella,20974,products,1.64,54%,Ayikple,FL,loss ratio>40%,has irpm,no action
3378,2010,Apr,Janice,28671,building,1.88,16%,Dedu,KY,,has irpm,add credit
3379,2015,Jun,Francis,46555,auto,1.71,49%,Odeneho,KY,loss ratio>40%,has irpm,no action
3380,2014,Sep,Priscilla,10087,contents,0.79,64%,Odeneho,MN,loss ratio>40%,has irpm,no action
3381,2010,Jan,Franca,17423,auto,0.8,70%,Ayikple,PA,loss ratio>40%,has irpm,no action
3382,2013,Jul,Alex,7238,products,1.67,48%,Dedu,WI,loss ratio>40%,has irpm,no action
3383,2012,Feb,Ama,49942,auto,1.18,59%,Dedu,VA,loss ratio>40%,has irpm,no action
3384,2015,Feb,Adjoa,38406,home,1.61,41%,Dedu,VA,loss ratio>40%,has irpm,no action
3385,2012,Mar,Ben,27923,building,1.34,65%,Dedu,KY,loss ratio>40%,has irpm,no action
3386,2014,Sep,Dan,7979,products,0.74,61%,Ayikple,TX,loss ratio>40%,has irpm,no action
3387,2014,Jul,Mina,47524,contents,0.87,81%,Ayikple,PA,loss ratio>40%,has irpm,no action
3388,2011,Dec,Abena,42848,contents,1.27,68%,Dedu,WI,loss ratio>40%,has irpm,no action
3389,2011,Nov,David,39128,home,1.61,37%,Ayikple,PA,,has irpm,add credit
3390,2015,Sep,Ekow,21503,products,1.98,50%,Ayikple,MN,loss ratio>40%,has irpm,no action
3391,2014,Jun,Kwasi,20648,home,0.95,49%,Dedu,PA,loss ratio>40%,has irpm,no action
3392,2013,Nov,Kwabena,24825,building,1.96,70%,Ayikple,TX,loss ratio>40%,has irpm,no action
3393,2014,Feb,Emefa,37480,home,1.73,26%,Odeneho,MN,,has irpm,add credit
3394,2010,Nov,Abbie,15754,auto,1.03,67%,Dedu,GA,loss ratio>40%,has irpm,no action
3395,2011,Aug,Aseda,22971,auto,1.22,93%,Dedu,NC,loss ratio>40%,has irpm,add debit
3396,2015,Oct,Bella,43076,home,1.86,47%,Odeneho,IL,loss ratio>40%,has irpm,no action
3397,2012,Apr,Janice,13188,contents,1.71,73%,Odeneho,MD,loss ratio>40%,has irpm,add debit
3398,2010,Feb,Francis,30689,contents,1.49,46%,Ayikple,MN,loss ratio>40%,has irpm,no action
3399,2014,Jun,Priscilla,35912,products,1.53,50%,Ayikple,NY,loss ratio>40%,has irpm,no action
3400,2015,Jun,Franca,45767,contents,1.57,8%,Dedu,SC,,has irpm,add credit
3401,2012,Aug,Alex,14131,products,0.59,36%,Odeneho,PA,,has irpm,add credit
3402,2014,Nov,Ama,38981,contents,0.62,74%,Ayikple,NJ,loss ratio>40%,has irpm,no action
3403,2012,Mar,Adjoa,8161,products,1.57,74%,Ayikple,TX,loss ratio>40%,has irpm,add debit
3404,2015,Mar,Ben,24512,building,1.15,1%,Odeneho,SC,,has irpm,add credit
3405,2011,Mar,Dan,20388,auto,0.9,100%,Ayikple,MD,loss ratio>40%,has irpm,no action
3406,2015,May,Mina,9051,home,0.51,27%,Ayikple,IL,,has irpm,add credit
3407,2012,Jul,Abena,18914,contents,1.79,3%,Odeneho,TN,,has irpm,add credit
3408,2013,Mar,David,11177,building,1.56,71%,Odeneho,MN,loss ratio>40%,has irpm,add debit
3409,2015,May,Ekow,35316,contents,1.78,80%,Ayikple,MD,loss ratio>40%,has irpm,add debit
3410,2010,Mar,Kwasi,44636,home,1.31,89%,Ayikple,TN,loss ratio>40%,has irpm,add debit
3411,2011,Oct,Kwabena,44476,auto,1.11,53%,Ayikple,GA,loss ratio>40%,has irpm,no action
3412,2013,Jul,Emefa,47021,auto,0.53,54%,Dedu,WI,loss ratio>40%,has irpm,no action
3413,2014,Jul,Abbie,45203,home,1.68,39%,Odeneho,SC,,has irpm,add credit
3414,2013,Aug,Aseda,32448,products,0.97,9%,Ayikple,PA,,has irpm,add credit
3415,2010,Jan,Bella,19845,contents,1.74,19%,Odeneho,MD,,has irpm,add credit
3416,2014,Apr,Janice,35212,home,0.83,90%,Dedu,MN,loss ratio>40%,has irpm,no action
3417,2011,Apr,Francis,14513,auto,0.72,5%,Ayikple,NY,,has irpm,add credit
3418,2011,Jan,Priscilla,26991,home,1.11,64%,Odeneho,KY,loss ratio>40%,has irpm,no action
3419,2015,Dec,Franca,40640,home,1.7,42%,Ayikple,MN,loss ratio>40%,has irpm,no action
3420,2011,Feb,Alex,11201,building,1.91,40%,Dedu,MN,,has irpm,add credit
3421,2010,Mar,Ama,22709,contents,0.98,73%,Ayikple,TX,loss ratio>40%,has irpm,no action
3422,2011,Feb,Adjoa,44336,products,1.83,18%,Odeneho,WI,,has irpm,add credit
3423,2010,Oct,Ben,48619,auto,1.75,98%,Dedu,NC,loss ratio>40%,has irpm,add debit
3424,2010,Aug,Dan,36797,building,1.53,53%,Dedu,WI,loss ratio>40%,has irpm,no action
3425,2015,Sep,Mina,9989,products,1.74,1%,Ayikple,PA,,has irpm,add credit
3426,2014,Dec,Abena,10835,contents,1.8,9%,Odeneho,MN,,has irpm,add credit
3427,2011,Jul,David,22934,products,0.68,90%,Dedu,MD,loss ratio>40%,has irpm,no action
3428,2014,Dec,Ekow,14925,building,0.74,21%,Odeneho,FL,,has irpm,add credit
3429,2014,Jul,Kwasi,14723,products,1.32,80%,Odeneho,WI,loss ratio>40%,has irpm,add debit
3430,2014,Feb,Kwabena,2897,building,0.62,84%,Dedu,NY,loss ratio>40%,has irpm,no action
3431,2010,Oct,Emefa,20411,products,1.84,97%,Ayikple,MD,loss ratio>40%,has irpm,add debit
3432,2015,Jan,Abbie,37077,building,1.6,31%,Dedu,SC,,has irpm,add credit
3433,2010,Dec,Aseda,7780,products,0.5,26%,Ayikple,NC,,has irpm,add credit
3434,2012,Sep,Bella,40401,auto,1.48,59%,Odeneho,TX,loss ratio>40%,has irpm,no action
3435,2013,Nov,Janice,35658,products,0.69,97%,Dedu,SC,loss ratio>40%,has irpm,no action
3436,2015,Aug,Francis,47696,home,1.06,9%,Ayikple,NC,,has irpm,add credit
3437,2010,Aug,Priscilla,42391,auto,1.14,23%,Dedu,IL,,has irpm,add credit
3438,2011,Aug,Franca,17666,products,2,15%,Odeneho,NJ,,has irpm,add credit
3439,2010,Feb,Alex,22428,contents,0.69,98%,Dedu,VA,loss ratio>40%,has irpm,no action
3440,2011,Jul,Ama,10111,home,1.94,19%,Dedu,GA,,has irpm,add credit
3441,2011,May,Adjoa,40609,products,1.72,94%,Ayikple,PA,loss ratio>40%,has irpm,add debit
3442,2012,Jan,Ben,2716,building,0.58,34%,Ayikple,PA,,has irpm,add credit
3443,2015,Dec,Dan,37843,products,1.47,88%,Odeneho,TX,loss ratio>40%,has irpm,add debit
3444,2014,Dec,Mina,10534,home,1.33,93%,Odeneho,IL,loss ratio>40%,has irpm,add debit
3445,2013,Aug,Abena,27307,home,1.76,31%,Ayikple,NC,,has irpm,add credit
3446,2011,Nov,David,28897,products,0.75,71%,Dedu,GA,loss ratio>40%,has irpm,no action
3447,2012,Apr,Ekow,48408,home,0.91,85%,Ayikple,MN,loss ratio>40%,has irpm,no action
3448,2010,Aug,Kwasi,35918,home,1.9,91%,Ayikple,KY,loss ratio>40%,has irpm,add debit
3449,2013,Mar,Kwabena,32180,auto,1.26,24%,Odeneho,MD,,has irpm,add credit
3450,2012,Feb,Emefa,31559,home,2,65%,Ayikple,MN,loss ratio>40%,has irpm,no action
3451,2012,Mar,Abbie,23737,building,1.96,4%,Dedu,PA,,has irpm,add credit
3452,2012,May,Aseda,32771,contents,0.8,79%,Ayikple,IL,loss ratio>40%,has irpm,no action
3453,2011,Dec,Bella,19349,products,1.75,20%,Odeneho,SC,,has irpm,add credit
3454,2010,Feb,Janice,29139,contents,1.16,76%,Dedu,MN,loss ratio>40%,has irpm,add debit
3455,2015,Jun,Francis,17511,auto,1.13,91%,Odeneho,TN,loss ratio>40%,has irpm,add debit
3456,2014,Mar,Priscilla,31328,auto,1.85,4%,Odeneho,VA,,has irpm,add credit
3457,2013,Feb,Franca,48082,auto,1.01,27%,Ayikple,NY,,has irpm,add credit
3458,2013,Aug,Alex,14318,building,0.99,95%,Ayikple,MD,loss ratio>40%,has irpm,no action
3459,2011,Oct,Ama,36017,auto,1.55,80%,Dedu,KY,loss ratio>40%,has irpm,add debit
3460,2013,Aug,Adjoa,20240,building,0.51,9%,Odeneho,KY,,has irpm,add credit
3461,2015,Jul,Ben,45546,building,1.48,53%,Odeneho,MN,loss ratio>40%,has irpm,no action
3462,2011,Jan,Dan,20224,products,1.27,88%,Ayikple,SC,loss ratio>40%,has irpm,add debit
3463,2011,Jul,Mina,14509,products,0.59,18%,Dedu,KY,,has irpm,add credit
3464,2013,Nov,Abena,49049,contents,1.17,22%,Dedu,FL,,has irpm,add credit
3465,2011,Oct,David,22304,auto,1.37,35%,Ayikple,VA,,has irpm,add credit
3466,2014,Dec,Ekow,2344,products,0.53,20%,Ayikple,FL,,has irpm,add credit
3467,2015,Mar,Kwasi,49640,building,1.71,76%,Odeneho,MD,loss ratio>40%,has irpm,add debit
3468,2011,May,Kwabena,21834,products,1.09,5%,Dedu,MN,,has irpm,add credit
3469,2011,Jun,Emefa,36420,contents,1.21,91%,Dedu,WI,loss ratio>40%,has irpm,add debit
3470,2010,Nov,Abbie,46183,contents,0.92,6%,Ayikple,NY,,has irpm,add credit
3471,2010,Dec,Aseda,43934,contents,0.87,36%,Odeneho,TX,,has irpm,add credit
3472,2010,Dec,Bella,12284,home,1.3,5%,Odeneho,WI,,has irpm,add credit
3473,2012,Oct,Janice,3641,auto,1.46,48%,Odeneho,GA,loss ratio>40%,has irpm,no action
3474,2011,Aug,Francis,46009,contents,1.68,87%,Dedu,NC,loss ratio>40%,has irpm,add debit
3475,2014,Dec,Priscilla,8362,auto,0.54,89%,Ayikple,NC,loss ratio>40%,has irpm,no action
3476,2011,May,Franca,30166,auto,0.99,61%,Ayikple,NY,loss ratio>40%,has irpm,no action
3477,2014,Nov,Alex,5005,building,0.54,81%,Odeneho,PA,loss ratio>40%,has irpm,no action
3478,2010,Jan,Ama,21614,auto,0.8,80%,Ayikple,SC,loss ratio>40%,has irpm,no action
3479,2013,Sep,Adjoa,49142,contents,1.47,13%,Ayikple,NY,,has irpm,add credit
3480,2014,May,Ben,4855,contents,0.92,96%,Dedu,GA,loss ratio>40%,has irpm,no action
3481,2012,May,Dan,18201,products,1.58,56%,Odeneho,MN,loss ratio>40%,has irpm,no action
3482,2010,Dec,Mina,12327,home,1.09,78%,Odeneho,MN,loss ratio>40%,has irpm,add debit
3483,2011,May,Abena,15744,building,0.86,85%,Ayikple,KY,loss ratio>40%,has irpm,no action
3484,2011,Aug,David,20937,building,0.82,43%,Dedu,NJ,loss ratio>40%,has irpm,no action
3485,2013,Nov,Ekow,47196,building,0.96,48%,Odeneho,WI,loss ratio>40%,has irpm,no action
3486,2014,Jan,Kwasi,8346,auto,1.86,85%,Dedu,SC,loss ratio>40%,has irpm,add debit
3487,2011,Mar,Kwabena,25766,contents,0.52,29%,Odeneho,TX,,has irpm,add credit
3488,2010,Jan,Emefa,46769,home,0.71,68%,Odeneho,MN,loss ratio>40%,has irpm,no action
3489,2015,Aug,Abbie,7444,products,0.89,79%,Ayikple,MN,loss ratio>40%,has irpm,no action
3490,2014,Jan,Aseda,27176,building,0.52,81%,Ayikple,SC,loss ratio>40%,has irpm,no action
3491,2014,Jun,Bella,3938,auto,0.73,17%,Odeneho,PA,,has irpm,add credit
3492,2011,Feb,Janice,38086,auto,0.79,28%,Odeneho,NJ,,has irpm,add credit
3493,2011,Mar,Francis,42087,products,1.79,83%,Odeneho,PA,loss ratio>40%,has irpm,add debit
3494,2011,Mar,Priscilla,9668,building,1.03,84%,Ayikple,WI,loss ratio>40%,has irpm,add debit
3495,2013,Sep,Franca,22232,building,1.75,31%,Odeneho,KY,,has irpm,add credit
3496,2015,Oct,Alex,40998,contents,1.57,9%,Ayikple,NY,,has irpm,add credit
3497,2013,Jul,Ama,34730,building,1.2,96%,Ayikple,MN,loss ratio>40%,has irpm,add debit
3498,2014,Jan,Adjoa,29388,products,1.79,41%,Ayikple,NJ,loss ratio>40%,has irpm,no action
3499,2011,Dec,Ben,28344,products,1.2,74%,Odeneho,PA,loss ratio>40%,has irpm,add debit
3500,2014,May,Dan,32407,building,1.67,39%,Odeneho,NJ,,has irpm,add credit
3501,2010,May,Mina,9097,auto,0.89,42%,Odeneho,NJ,loss ratio>40%,has irpm,no action
3502,2012,Nov,Abena,42760,auto,1.14,36%,Ayikple,TX,,has irpm,add credit
3503,2013,Feb,David,1542,home,1.66,53%,Odeneho,SC,loss ratio>40%,has irpm,no action
3504,2014,May,Ekow,44700,products,0.68,28%,Dedu,MD,,has irpm,add credit
3505,2013,Aug,Kwasi,23574,auto,1,42%,Ayikple,NC,loss ratio>40%,,no action
3506,2013,Aug,Kwabena,9292,auto,1.47,70%,Ayikple,MN,loss ratio>40%,has irpm,no action
3507,2013,Jul,Emefa,16177,products,1.95,23%,Ayikple,TX,,has irpm,add credit
3508,2013,Jan,Abbie,23361,auto,1.22,68%,Dedu,TN,loss ratio>40%,has irpm,no action
3509,2012,Jun,Aseda,35819,products,1.55,21%,Dedu,NY,,has irpm,add credit
3510,2012,Apr,Bella,10698,contents,1.21,68%,Odeneho,FL,loss ratio>40%,has irpm,no action
3511,2014,Sep,Janice,28420,building,1.39,42%,Odeneho,PA,loss ratio>40%,has irpm,no action
3512,2012,Nov,Francis,7659,building,1.07,71%,Dedu,MN,loss ratio>40%,has irpm,add debit
3513,2014,Aug,Priscilla,28976,home,1.18,35%,Odeneho,NY,,has irpm,add credit
3514,2013,Feb,Franca,17135,building,0.53,99%,Dedu,FL,loss ratio>40%,has irpm,no action
3515,2013,Jul,Alex,23135,auto,1.37,47%,Dedu,MD,loss ratio>40%,has irpm,no action
3516,2010,Sep,Ama,21373,products,0.57,59%,Odeneho,NC,loss ratio>40%,has irpm,no action
3517,2012,Mar,Adjoa,27691,contents,1.98,80%,Dedu,FL,loss ratio>40%,has irpm,add debit
3518,2010,Nov,Ben,4121,contents,0.82,99%,Ayikple,PA,loss ratio>40%,has irpm,no action
3519,2012,Jan,Dan,43915,products,1.88,14%,Ayikple,VA,,has irpm,add credit
3520,2012,Feb,Mina,33091,auto,1.21,99%,Ayikple,TX,loss ratio>40%,has irpm,add debit
3521,2015,Sep,Abena,40660,auto,0.89,61%,Odeneho,FL,loss ratio>40%,has irpm,no action
3522,2010,Jan,David,45228,home,1.26,13%,Ayikple,NY,,has irpm,add credit
3523,2010,May,Ekow,43154,building,1.92,97%,Dedu,VA,loss ratio>40%,has irpm,add debit
3524,2013,Sep,Kwasi,27553,home,1.65,62%,Dedu,SC,loss ratio>40%,has irpm,no action
3525,2010,May,Kwabena,8408,building,1.09,19%,Odeneho,TX,,has irpm,add credit
3526,2010,Sep,Emefa,24832,home,1.66,7%,Dedu,FL,,has irpm,add credit
3527,2014,May,Abbie,35306,home,0.58,76%,Ayikple,FL,loss ratio>40%,has irpm,no action
3528,2014,Nov,Aseda,23909,contents,1.75,71%,Odeneho,MD,loss ratio>40%,has irpm,add debit
3529,2011,Mar,Bella,2116,building,1.78,58%,Dedu,NC,loss ratio>40%,has irpm,no action
3530,2014,Jun,Janice,14360,products,1.62,19%,Odeneho,MD,,has irpm,add credit
3531,2014,Dec,Francis,45398,auto,1.69,22%,Odeneho,NC,,has irpm,add credit
3532,2013,Dec,Priscilla,12701,building,1.75,32%,Dedu,MN,,has irpm,add credit
3533,2012,Apr,Franca,41224,building,0.65,32%,Ayikple,TN,,has irpm,add credit
3534,2011,Jun,Alex,47848,auto,1.98,96%,Ayikple,IL,loss ratio>40%,has irpm,add debit
3535,2015,Dec,Ama,31900,home,1.98,3%,Ayikple,FL,,has irpm,add credit
3536,2010,Feb,Adjoa,26448,home,1.69,14%,Odeneho,KY,,has irpm,add credit
3537,2015,Jun,Ben,22519,home,0.79,42%,Odeneho,MN,loss ratio>40%,has irpm,no action
3538,2010,Aug,Dan,12952,products,1.49,33%,Odeneho,NC,,has irpm,add credit
3539,2013,Jun,Mina,14239,products,1.16,77%,Odeneho,SC,loss ratio>40%,has irpm,add debit
3540,2011,Jun,Abena,48168,contents,0.97,1%,Dedu,NC,,has irpm,add credit
3541,2010,Feb,David,12187,home,1.97,91%,Dedu,PA,loss ratio>40%,has irpm,add debit
3542,2010,Nov,Ekow,31332,auto,1.74,38%,Odeneho,VA,,has irpm,add credit
3543,2010,Feb,Kwasi,2951,home,0.88,40%,Dedu,FL,,has irpm,add credit
3544,2014,Nov,Kwabena,14260,products,0.88,64%,Ayikple,MD,loss ratio>40%,has irpm,no action
3545,2013,Apr,Emefa,11401,contents,1.99,9%,Ayikple,PA,,has irpm,add credit
3546,2012,Oct,Abbie,39256,auto,1.12,91%,Ayikple,SC,loss ratio>40%,has irpm,add debit
3547,2013,Apr,Aseda,34900,home,0.91,81%,Ayikple,MD,loss ratio>40%,has irpm,no action
3548,2011,Nov,Bella,33260,auto,1.65,2%,Ayikple,NJ,,has irpm,add credit
3549,2013,May,Janice,42394,products,0.82,48%,Odeneho,KY,loss ratio>40%,has irpm,no action
3550,2014,Jan,Francis,20523,auto,1.51,42%,Odeneho,VA,loss ratio>40%,has irpm,no action
3551,2013,Aug,Priscilla,4965,contents,1.79,51%,Dedu,KY,loss ratio>40%,has irpm,no action
3552,2013,Apr,Franca,35534,home,0.65,14%,Dedu,MN,,has irpm,add credit
3553,2014,Apr,Alex,37361,auto,1.28,48%,Ayikple,SC,loss ratio>40%,has irpm,no action
3554,2010,Apr,Ama,41812,auto,1.16,12%,Odeneho,MN,,has irpm,add credit
3555,2010,Oct,Adjoa,47079,contents,1.62,8%,Dedu,NC,,has irpm,add credit
3556,2015,Sep,Ben,8630,home,1.44,56%,Odeneho,KY,loss ratio>40%,has irpm,no action
3557,2012,Aug,Dan,45196,auto,0.92,92%,Ayikple,SC,loss ratio>40%,has irpm,no action
3558,2015,Dec,Mina,1978,home,0.98,61%,Dedu,PA,loss ratio>40%,has irpm,no action
3559,2012,Jun,Abena,14111,home,0.98,61%,Odeneho,TN,loss ratio>40%,has irpm,no action
3560,2011,Jul,David,42434,building,0.57,52%,Ayikple,IL,loss ratio>40%,has irpm,no action
3561,2011,Apr,Ekow,13494,building,0.72,81%,Ayikple,WI,loss ratio>40%,has irpm,no action
3562,2013,Mar,Kwasi,37443,building,1.38,17%,Odeneho,NJ,,has irpm,add credit
3563,2015,Feb,Kwabena,43594,building,1.33,96%,Dedu,TN,loss ratio>40%,has irpm,add debit
3564,2014,Feb,Emefa,45932,contents,0.97,42%,Dedu,TX,loss ratio>40%,has irpm,no action
